model name,skin_tone,RGB_value
Abas Abdirazaq,4,"232, 176, 141"
Abby Champion,1,"216, 177, 163"
Abeny Nhial,8,"116, 77, 62"
Adamu Bulus,7,"147, 99, 90"
Adit Priscilla,7,"131, 76, 42"
Adut Akech,7,"135, 106, 101"
Adwoa Aboah,4,"206, 168, 118"
Aivita Muze,1,"231, 200, 182"
Ajah Angau Jok,9,"71, 50, 40"
Ajok Daing,8,"91, 66, 57"
Akbar Shamji,2,"211, 150, 129"
Akon Changkou,8,"67, 36, 22"
Alaato Jazyper,9,"106, 84, 73"
Alex Consani,1,"237, 212, 201"
Alix Bouthors,1,"227, 192, 173"
Alton Mason,8,"156, 98, 74"
Alva Claire,6,"195, 134, 97"
Amar Akway,9,"106,75, 63"
Amelia Gray,1,"218, 187, 173"
America Gonzalez,4,"214, 166, 134"
Angelina Kendall,4,"223, 172, 138"
Anna Ewers,1,"225, 191, 177"
Annemary Aderibigbe,4,"220, 176, 134"
Anok Yai,8,"143, 93, 89"
Apolline Rocco Fohrer,1,"229, 177, 160"
Awar Odhiang,8,"92, 55, 39"
Awwal Adeoti,7,"145, 94, 70"
Babacar Ndoye,8,"143,101,87"
Bella Hadid,1,"237, 209, 188"
Bibi Breslin,1,"243, 211, 195"
Cameron Dallas,2,"223, 196, 168"
Cara Delevingne,2,"232, 191, 168"
Celina Ralph,3,"216, 166, 122"
Cheikh Dia,8,"94, 51, 24"
Cherif Douamba,8,"106, 60, 48"
Chloe Oh,1,"233, 193, 175"
Clement Chabernaud,1,"245, 214, 194"
Colin Jones,1,"229, 187, 174"
Connor Newall,1,"230, 179, 170"
Cosme Voisin,1,"222, 184, 172"
Dana Smith,3,"225, 189, 156"
Dara Gueye,8,"85, 57, 45"
Devyn Garcia,2,"202, 154, 125"
Diane Chiu,3,"210, 161, 129"
Douta Sidibe,8,"100,57,36"
Edie Campbell,2,"243, 218, 203"
Edna Karibwami,7,"118,60,27"
Ella Mccutcheon,2,"227, 183, 160"
Elliot Meeten,2,"250, 202, 177"
Felice Nova Nordhoff,2,"231,189, 175"
Fernando Lindez,4,"201, 145, 117"
Filip Hrivnak,1,"240, 192, 177"
Fran Summers,2,"235, 197, 186"
Francisco Lachowski,3,"237, 183, 155"
Gabbriette,1,"242, 213, 192"
Gaye Serigne,7,"150, 98, 75"
Gendai Funato,2,"231, 193, 170"
Georgia Palmer,6,"183, 123, 78"
Gigi Hadid,2,"222, 173, 147"
Goy Michael,9,"130, 103, 89"
Grace Elizabeth,2,"207, 164, 148"
Grace Valentine,5,"206, 142, 108"
Greta Hofer,2,"231, 182, 166"
Haatepah,6,"186, 128, 93"
Habib Masovic,1,"221, 184, 167"
Hedi Ben Tekaya,4,"224, 169, 137"
Hejia Li,2,"207, 168, 147"
Hoyong Kim,3,"229, 183, 147"
Ida Heiner,2,"226, 185, 160"
Ilias Loopmans,2,"235, 199, 173"
Ilya Vermeulen,2,"225, 185, 162"
Indiana Vant Slot,1,"238, 205, 191"
Iris Law,4,"212, 162, 130"
Jeanne Cadieu,1,"240, 209, 188"
Jill Kortleve,2,"205, 159, 152"