name,skin_tone,RGB_value
Jordan Barrett,1,"232, 195, 182"
Joshua Thompson,1,"219, 181, 165"
Kai Isaiah Jamal,5,"188, 147, 109"
Kaia Gerber,2,"219, 177, 166"
Karolina Spakowski,1,"233, 203, 190"
Kendall Jenner,2,"241, 186, 161"
Kit Butler,2,"207, 156, 144"
Kristen McMenamy,2,"241, 207,177"
Kristine Lindseth,2,"233, 188, 164"
Lara Menezes,5,"175, 124, 92"
Leon Dame,3,"215, 171, 128"
Liam Kelly,2,"247,209, 180"
Lila Moss,1,"236, 203, 192"
Lineisy Montero,6,"208, 144, 96"
Loli Bahia,1,"247, 225, 213"
Luca Biggs,1,"237, 181, 168"
Lucky Blue Smith,1,"223, 193, 185"
Lulu Tenney,2,"238, 206, 190"
Malik Anderson,6,"199, 143, 107"
Mamuor Majeng,9,"80, 60, 54"
Mary Ukech,8,"112, 87, 75"
Mathieu Simoneau,4,"215, 159, 131"
Mathilda Gvarliani,2,"185, 126, 98"
Matthew Seymour,6,"180, 120, 92"
Maty Drazek,2,"217, 179, 164"
Maty Fall,8,"96, 72, 62"
Meghan Roche,2,"242, 209, 202"
Mika Schneider,2,"224, 179, 152"
Mila van Eeten,1,"226, 189, 175"
Mohamed Hassan,6,"141, 79, 42"
Momo Ndiaye,8,"83, 60, 47"
Mona Tougaard,6,"185, 114, 73"
Naomi Campbell,6,"191, 107, 71"
Nonso Ojukwu,8,"103, 60, 46"
Nyaduola Gabriel,8,"106, 73, 64"
Nyakong Chan,9,"82, 59, 38"
Ottawa Kwami,9,"77, 46, 24"
Paloma Elsesser,4,"213, 159, 128"
Paul Hameline,3,"226, 181, 146"
Penelope Ternes,1,"247, 218, 212"
Presley Gerber,1,"251, 195, 182"
Quannah Chasinghorse,2,"217, 182, 162"
Rebecca Leigh Longendyke,2,"235, 206, 195"
Rejoice Chuol,9,"115, 88, 84"
Rolf,4,"207, 167, 139"
Rosalieke Fuchs,2,"226, 194, 182"
Rubuen Bilan-Carroll,4,"232, 173, 126"
Salomon Diaz,8,"125, 69, 50"
Sang Woo Kim,2,"251, 223, 205"
Sara Caballero,2,"223, 181, 157"
Sascha Rajasalu,2,"223, 194, 183"
Sean O'Pry,2,"242, 205, 193"
Sihana Shalaj,2,"227, 190, 167"
Sofia Steinberg,2,"230, 187, 159"
Sora Choi,1,"198, 166, 154"
Sun Mizrahi,4,"230, 172, 128"
Taemin Park,2,"237, 211, 188"
Takfarines Bengana,4,"227, 181, 149"
Tanya Churbanova,2,"209, 162, 142"
Tess Breeden,1,"239, 207, 195"
Thatcher Thornton,2,"219, 163, 135"
Tom Rey,2,"222, 167, 141"
Trevor Signorino,2,"205, 170, 155"
Ugbad Abdi,4,"194, 143, 105"
Valentin Caron,2,"226, 189, 160"
Valentin Humbroich,1,"242, 220, 206"
Vasko Luyckx,1,"219, 192, 176"
Victoria Fawole,7,"189, 128, 101"
Vivienne Rohner,1,"234, 197, 179"
Wali Deutsch,3,"235, 192, 156"
Walid Fiher,1,"216, 182, 165"
Yilan Hua,1,"207, 169, 153"
Ying Ouyang,2,"232, 200, 176"
Ylang Messenguiral,3,"227, 181, 148"
Yoesry Detre,2,"236, 208, 178"